Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  jhi_service.exe		1,316 K	6,572 K	3848	Intel(R) Dynamic Application Loader Host Interface	Intel Corporation
  OneApp.IGCC.WinService.exe		38,152 K	52,444 K	3860	Intel® Graphics Command Center Service	Intel Corporation
  svchost.exe		4,564 K	20,648 K	3868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,884 K	21,376 K	3876	Host Process for Windows Services	Microsoft Corporation
  openvpnserv2.exe		15,476 K	15,428 K	3884	Openvpnserv2	The OpenVPN project
  svchost.exe		1,592 K	7,108 K	3904	Host Process for Windows Services	Microsoft Corporation
  openvpnserv.exe		1,188 K	5,472 K	3916	OpenVPN Service	The OpenVPN Project
  svchost.exe		1,340 K	6,148 K	3940	Host Process for Windows Services	Microsoft Corporation
  IpOverUsbSvc.exe		8,396 K	14,644 K	3948	Windows IP Over USB PC Service	Microsoft Corporation
  ossec-agent.exe		1,892 K	6,808 K	3960		
  vmnetdhcp.exe		7,784 K	5,632 K	3968	VMware VMnet DHCP service	VMware, Inc.
  vmnat.exe	< 0.01	2,092 K	7,012 K	4008	VMware NAT Service	VMware, Inc.
  WMIRegistrationService.exe		2,616 K	12,632 K	4036	Intel(R) Management Engine WMI Provider Registration	Intel Corporation
  MpDefenderCoreService.exe		10,896 K	23,436 K	4056		
  MsMpEng.exe	0.13	389,144 K	298,668 K	4068		
  zabbix_agentd.exe	< 0.01	9,152 K	14,504 K	4076	zabbix_agentd.exe	Zabbix SIA
  OfficeClickToRun.exe	< 0.01	29,636 K	53,680 K	3112	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
  mysqld.exe		33,512 K	24,404 K	4272		Oracle Corporation
   mysqld.exe	< 0.01	599,984 K	197,068 K	5300		Oracle Corporation
    conhost.exe	< 0.01	6,540 K	12,312 K	5356	콘솔 창 호스트	Microsoft Corporation
  svchost.exe		1,416 K	5,980 K	4304	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,940 K	11,208 K	4376	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,416 K	9,612 K	4392	Host Process for Windows Services	Microsoft Corporation
  vmware-authd.exe		4,976 K	12,276 K	4412	VMware Authorization Service	VMware, Inc.
  vmware-usbarbitrator64.exe	< 0.01	2,732 K	11,088 K	4432	VMware USB Arbitration Service	VMware, Inc.
